Year,Value
1995,2.04
1996,1.94
1997,1.94
1998,1.89
1999,1.81
2000,1.88
2001,1.79
2002,1.87
2003,1.87
2004,1.63
2005,1.62
2006,2.00
2007,1.97
2008,1.90
2009,2.27
2010,2.25
2011,2.08
2012,2.08
2013,2.09
2014,2.10
2015,2.27
2016,2.41
2017,2.37
2018,2.56
2019,2.79
2020,2.94
2021,3.03
2022,2.90
2023,3.24
2024,3.43
